libelleCommune,canton,population,superficie,orientation,tauxAbstention,premierCandidatTour1,deuxiemeCandidatTour1,troisiemeCandidatTour1,premierCandidatTour2,pourcentage1erCandidatTour2,symbole
Saint-Malo-de-Guersac,Saint-Nazaire,3181,"14,62",Gauche,"16,47",MÉLENCHON,MACRON,LE PEN,MACRON,"65,55",Bateau
Saint-Mars-de-Coutais,Machecoul,2627,"34,67",Centre,"15,9",MACRON,MÉLENCHON,LE PEN,MACRON,"70,81",Foret
Saint-Mars-du-Désert,Nort-sur-Erdre,4721,"30,46",Centre,"14,24",MACRON,FILLON,MÉLENCHON,MACRON,"71,97",NDLE
Saint-Mars-la-Jaille,Ancenis,2400,"20,06",Droite,"18,07",LE PEN,FILLON,MACRON,MACRON,"59,77",Chateau
Saint-Michel-Chef-Chef,Pornic,4642,"25,12",Centre,"15,48",MACRON,FILLON,LE PEN,MACRON,"67,73",Voilier
Saint-Molf,Guérande,2499,"22,82",Gauche,"14,85",MÉLENCHON,MACRON,LE PEN,MACRON,"63,99",Sel
Saint-Nazaire,Saint-Nazaire,69784,"46,79",Centre,"22,29",MACRON,MÉLENCHON,FILLON,MACRON,"77,15",Bateau
Saint-Nicolas-de-Redon,Pont-Château,3157,"22,32",Centre,"16,23",MACRON,MÉLENCHON,FILLON,MACRON,"69,41",VacheNantaise
Sainte-Pazanne,Machecoul,6547,"41,56",Centre,"12,09",MACRON,MÉLENCHON,FILLON,MACRON,"74,91",Foret
Saint-Père-en-Retz,Saint-Brévin-les-Pins,4488,"62,72",Centre,"16,21",MACRON,LE PEN,FILLON,MACRON,"64,45",Pins
Saint-Philbert-de-Grand-Lieu,Saint-Philbert-de-Grand-Lieu,8767,"58,81",Centre,"14,4",MACRON,FILLON,MÉLENCHON,MACRON,"69,35",VacheNantaise
Sainte-Reine-de-Bretagne,Pont-Château,2330,"19,73",Gauche,"17,49",MÉLENCHON,MACRON,LE PEN,MACRON,"64,6",VacheNantaise
Saint-Sébastien-sur-Loire,Saint-Sébastien-sur-Loire,26371,"11,66",Centre,"16,35",MACRON,MÉLENCHON,FILLON,MACRON,"84,67",Loire
Saint-Sulpice-des-Landes,Ancenis,792,"30,78",Droite,"15,28",FILLON,LE PEN,MACRON,MACRON,"58,51",Chateau
Saint-Viaud,Saint-Brévin-les-Pins,2407,"32,63",Gauche,"14,79",MÉLENCHON,MACRON,LE PEN,MACRON,"62,44",Pins
Saint-Vincent-des-Landes,Guéméné-Penfao,1519,"33,7",Droite,"14,51",LE PEN,MACRON,FILLON,MACRON,"64,14",CarriereTahun
Sautron,Saint-Herblain,7639,"17,28",Droite,"10,19",FILLON,MACRON,MÉLENCHON,MACRON,"82,53",Zenith
Savenay,Blain,8319,26,Centre,"16,55",MACRON,MÉLENCHON,FILLON,MACRON,0,Centrale
Sévérac,Pont-Château,1632,"22,41",Centre,"12,77",MACRON,MÉLENCHON,LE PEN,MACRON,"65,52",VacheNantaise
Sion-les-Mines,Guéméné-Penfao,1612,"54,71",Centre,"17,84",MACRON,LE PEN,FILLON,MACRON,"64,35",CarriereTahun
Les Sorinières,Vertou,8063,"13,02",Centre,"11,85",MACRON,MÉLENCHON,FILLON,MACRON,"78,85",Vignes
Soudan,Châteaubriant,1998,"53,82",Centre,"18,51",MACRON,LE PEN,FILLON,MACRON,"63,87",Fusilles
Soulvache,Châteaubriant,356,"11,27",Droite,"19,19",LE PEN,MACRON,MÉLENCHON,MACRON,"51,52",Fusilles
Sucé-sur-Erdre,La Chapelle-sur-Erdre,6903,"41,33",Centre,"11,44",MACRON,FILLON,MÉLENCHON,MACRON,"84,35",ParcDesNaudieres
Teillé,Nort-sur-Erdre,1779,"28,55",Centre,"15,83",MACRON,LE PEN,MÉLENCHON,MACRON,"68,47",NDLE
Le Temple-de-Bretagne,Blain,1889,"1,6",Centre,"11,79",MACRON,MÉLENCHON,LE PEN,MACRON,"68,51",Centrale
Thouaré-sur-Loire,Carquefou,9468,"12,76",Centre,"12,01",MACRON,MÉLENCHON,FILLON,MACRON,"82,73",Stade
Les Touches,Nort-sur-Erdre,2463,"35,15",Centre,"14,54",MACRON,LE PEN,MÉLENCHON,MACRON,"68,19",NDLE
