username,following,followers,date
jeanlassalle,447,66977,2022-01-10
ClaraEgger1,229,751,2022-01-10
AlexLanglois_,159,20280,2022-01-10
AnasseKazib,1619,60013,2022-01-10
HeleneThouy,489,8504,2022-01-10
Vukuzman,1240,18066,2022-01-10
philippejuvin,958,40150,2022-01-10
DenisPayre,1382,25676,2022-01-10
JLMelenchon,4836,2341425,2022-01-11
Fabien_Roussel,499,38728,2022-01-11
yjadot,1458,87844,2022-01-11
EmmanuelMacron,724,7532181,2022-01-11
n_arthaud,1419,22101,2022-01-11
vpecresse,1501,414250,2022-01-11
ZemmourEric,28,339470,2022-01-11
PhilippePoutou,18,199876,2022-01-11
Anne_Hidalgo,16694,1539472,2022-01-11
MLP_officiel,3265,2657499,2022-01-11
dupontaignan,470,287938,2022-01-11
larrouturou,49287,51868,2022-01-11
ChTaubira,352,822239,2022-01-11
Waechter2022,505,292,2022-01-11
f_philippot,876,313027,2022-01-11
antoine27955080,221,9137,2022-01-11
UPR_Asselineau,747,119017,2022-01-11
JaclineMouraud,530,7339,2022-01-11
jeanlassalle,447,67027,2022-01-11
ClaraEgger1,229,754,2022-01-11
AlexLanglois_,159,20284,2022-01-11
AnasseKazib,1621,60086,2022-01-11
HeleneThouy,489,8539,2022-01-11
Vukuzman,1240,18092,2022-01-11
philippejuvin,958,40178,2022-01-11
DenisPayre,1383,25685,2022-01-11
JLMelenchon,4836,2342144,2022-01-12
Fabien_Roussel,501,39790,2022-01-12
yjadot,1458,87983,2022-01-12
EmmanuelMacron,724,7534462,2022-01-12
n_arthaud,1419,22160,2022-01-12
vpecresse,1501,414701,2022-01-12
ZemmourEric,28,339946,2022-01-12
PhilippePoutou,18,200037,2022-01-12
Anne_Hidalgo,16694,1539593,2022-01-12
MLP_officiel,3264,2658068,2022-01-12
dupontaignan,469,288267,2022-01-12
larrouturou,49288,51891,2022-01-12
ChTaubira,352,822472,2022-01-12
Waechter2022,506,296,2022-01-12
f_philippot,875,313550,2022-01-12
antoine27955080,221,9135,2022-01-12
UPR_Asselineau,748,119193,2022-01-12
JaclineMouraud,530,7531,2022-01-12
jeanlassalle,447,67036,2022-01-12
ClaraEgger1,230,764,2022-01-12
AlexLanglois_,159,20278,2022-01-12
AnasseKazib,1623,60183,2022-01-12
HeleneThouy,490,8639,2022-01-12
Vukuzman,1243,18173,2022-01-12
philippejuvin,958,40208,2022-01-12
DenisPayre,1384,25711,2022-01-12
JLMelenchon,4836,2342831,2022-01-13
Fabien_Roussel,502,40560,2022-01-13
yjadot,1460,88178,2022-01-13
EmmanuelMacron,724,7536945,2022-01-13
n_arthaud,1419,22201,2022-01-13
vpecresse,1503,415128,2022-01-13
ZemmourEric,28,340635,2022-01-13
PhilippePoutou,18,200154,2022-01-13
Anne_Hidalgo,16693,1539685,2022-01-13
MLP_officiel,3262,2658567,2022-01-13
dupontaignan,469,288558,2022-01-13
larrouturou,49302,51903,2022-01-13
ChTaubira,352,822798,2022-01-13
Waechter2022,506,301,2022-01-13
f_philippot,876,314057,2022-01-13
antoine27955080,221,9135,2022-01-13
UPR_Asselineau,748,119381,2022-01-13
JaclineMouraud,529,7566,2022-01-13
jeanlassalle,447,67062,2022-01-13
ClaraEgger1,231,768,2022-01-13
AlexLanglois_,159,20277,2022-01-13
AnasseKazib,1624,60276,2022-01-13
HeleneThouy,490,8689,2022-01-13
Vukuzman,1245,18243,2022-01-13
philippejuvin,957,40248,2022-01-13
DenisPayre,1384,25717,2022-01-13
JLMelenchon,4836,2343691,2022-01-14
Fabien_Roussel,503,40948,2022-01-14
yjadot,1459,88290,2022-01-14
EmmanuelMacron,724,7539290,2022-01-14
n_arthaud,1419,22237,2022-01-14
vpecresse,1503,415619,2022-01-14
ZemmourEric,31,341243,2022-01-14
PhilippePoutou,18,200387,2022-01-14
Anne_Hidalgo,16686,1539811,2022-01-14
MLP_officiel,3262,2659041,2022-01-14
dupontaignan,469,288873,2022-01-14
larrouturou,49307,51908,2022-01-14
ChTaubira,352,822993,2022-01-14
Waechter2022,506,306,2022-01-14
f_philippot,877,314550,2022-01-14
antoine27955080,221,9134,2022-01-14
UPR_Asselineau,748,119570,2022-01-14
JaclineMouraud,529,7609,2022-01-14
jeanlassalle,448,67180,2022-01-14
ClaraEgger1,232,776,2022-01-14
AlexLanglois_,159,20275,2022-01-14
AnasseKazib,1624,60347,2022-01-14
HeleneThouy,490,8751,2022-01-14
Vukuzman,1247,18270,2022-01-14
philippejuvin,957,40276,2022-01-14
DenisPayre,1385,25734,2022-01-14
JLMelenchon,4835,2344272,2022-01-15
Fabien_Roussel,503,41355,2022-01-15
yjadot,1460,88438,2022-01-15
EmmanuelMacron,724,7541562,2022-01-15
n_arthaud,1419,22253,2022-01-15
vpecresse,1503,415958,2022-01-15
ZemmourEric,31,341571,2022-01-15
PhilippePoutou,18,200513,2022-01-15
Anne_Hidalgo,16687,1539895,2022-01-15
MLP_officiel,3262,2659384,2022-01-15
dupontaignan,469,289201,2022-01-15
larrouturou,49313,51929,2022-01-15
ChTaubira,352,823157,2022-01-15
Waechter2022,506,308,2022-01-15
f_philippot,878,315044,2022-01-15
antoine27955080,222,9131,2022-01-15
UPR_Asselineau,749,119709,2022-01-15
JaclineMouraud,529,7708,2022-01-15
jeanlassalle,449,67692,2022-01-15
ClaraEgger1,232,781,2022-01-15
AlexLanglois_,159,20273,2022-01-15
AnasseKazib,1627,60399,2022-01-15
HeleneThouy,490,8787,2022-01-15
Vukuzman,1248,18283,2022-01-15
philippejuvin,958,40307,2022-01-15
DenisPayre,1385,25743,2022-01-15
JLMelenchon,4836,2345006,2022-01-16
Fabien_Roussel,503,41711,2022-01-16
yjadot,1460,88657,2022-01-16
EmmanuelMacron,724,7543768,2022-01-16
n_arthaud,1419,22283,2022-01-16
vpecresse,1503,416477,2022-01-16
ZemmourEric,33,342345,2022-01-16
PhilippePoutou,18,200642,2022-01-16
Anne_Hidalgo,16689,1540015,2022-01-16
MLP_officiel,3261,2659940,2022-01-16
dupontaignan,469,289539,2022-01-16
larrouturou,49316,51974,2022-01-16
ChTaubira,380,825670,2022-01-16
Waechter2022,506,309,2022-01-16
f_philippot,877,315625,2022-01-16
antoine27955080,222,9132,2022-01-16
UPR_Asselineau,749,119909,2022-01-16
JaclineMouraud,529,7842,2022-01-16
jeanlassalle,449,67769,2022-01-16
ClaraEgger1,232,791,2022-01-16
AlexLanglois_,160,20271,2022-01-16
AnasseKazib,1627,60485,2022-01-16
HeleneThouy,498,8847,2022-01-16
Vukuzman,1249,18321,2022-01-16
philippejuvin,958,40323,2022-01-16
DenisPayre,1385,25744,2022-01-16
JLMelenchon,4837,2346076,2022-01-17
Fabien_Roussel,503,42848,2022-01-17
yjadot,1460,88930,2022-01-17
EmmanuelMacron,724,7546137,2022-01-17
n_arthaud,1419,22332,2022-01-17
vpecresse,1504,416873,2022-01-17
ZemmourEric,34,342900,2022-01-17
PhilippePoutou,18,200749,2022-01-17
Anne_Hidalgo,16684,1540163,2022-01-17
MLP_officiel,3260,2660588,2022-01-17
dupontaignan,469,289976,2022-01-17
larrouturou,49316,52003,2022-01-17
ChTaubira,392,826469,2022-01-17
Waechter2022,506,316,2022-01-17
f_philippot,878,316171,2022-01-17
antoine27955080,222,9132,2022-01-17
